Time,trans_axial,forca,trans_grande,trans_radial,1,2,3,RDP132105,Ref. of axis Actuador axial 10 kN,Number of cycles,LVDT 3,RDP132091,RDP132089,ea,q,Ed_Shoelace,Ed_trapezio,,,
"5:131:7173:429533:429497540,6",5.65044534,0.1663578,5.78703567,0.53337177,3.31868025,1.29955632,2.62386806,0.01004355,1,950000,0.0127641548076923,0.00499829353846154,0.0100918002307692,0.00754504688461539,9.41392575711748,,-0.000996967022329072,,,
"5:131:7173:429533:429497565,6",5.5982778,0.10113498,5.732272,0.84944393,3.30041373,1.28426982,2.5706571,0.01004355,1,950000,0.0126938989615385,0.00493949930769231,0.00988714269230769,0.007413321,5.72306915075555,,-0.000414814448113902,,,
"5:131:7173:429533:429497590,6",5.55467508,0.05479245,5.69183901,1.08649805,3.2816748,1.27305972,2.53297528,0.01004355,1,950000,0.0126218261538462,0.00489638353846154,0.00974221261538462,0.00731929807692308,3.10061840412996,,-8.03223092816073E-05,,,
"5:131:7173:429533:429497615,6",5.53884314,0.052812,5.68365005,1.20502511,3.26403816,1.26952684,2.5227895,0.01004355,1,950000,0.0125539929230769,0.00488279553846154,0.00970303653846154,0.00729291603846154,2.98854785940237,,0.000168842379194576,,,
"5:131:7173:429533:429497640,6",5.55623232,0.10800054,5.70258702,1.20502511,3.24577164,1.2691192,2.54249314,0.01004355,1,950000,0.0124837370769231,0.00488122769230769,0.00977881976923077,0.00733002373076923,6.11158037247786,,0.000791709300400303,,,
"5:131:7173:429533:429497665,6",5.59516332,0.18695448,5.73994915,1.14576158,3.23033958,1.27598114,2.58496172,0.01022616,1,950001,0.012424383,0.00490761976923077,0.00994216046153846,0.00742489011538462,10.5794594222844,0.00518257005932199,0.00178998835888998,,,
"5:131:7173:429533:429497690,6",5.64655224,0.28161999,5.80238997,0.84944393,3.2265603,1.28963708,2.64151228,0.01004355,1,950001,0.0124098473076923,0.00496014261538462,0.0101596626153846,0.00755990261538462,15.9364314602632,,0.00287456263496473,,,
"5:131:7173:429533:429497715,6",5.70676552,0.3908088,5.86790165,0.7901804,3.22750512,1.30519534,2.7045194,0.00986094,1,950001,0.0124134812307692,0.00501998207692308,0.0104019976923077,0.00771098988461538,22.1152541595776,,0.00383215818425474,,,
"5:131:7173:429534:429496740,6",5.77009328,0.52455519,5.936996,0.7901804,3.2312844,1.31946274,2.76719256,0.00967833,1,950001,0.0124280169230769,0.00507485669230769,0.0106430483076923,0.0078589525,29.6837516135141,,0.00441116698040582,,,
"5:131:7173:429534:429496765,6",5.83030656,0.70345584,6.00250768,0.73091687,3.24419694,1.3302652,2.82240728,0.00967833,1,950001,0.0124776805384615,0.00511640461538462,0.0108554126153846,0.00798590861538462,39.8074574872396,,0.00284760369401722,0.00518449741464169,,
"5:131:7173:429534:429496790,6",5.86742078,0.82597968,6.03986981,0.67165334,3.26151864,1.33542864,2.8514618,0.00967833,1,950001,0.0125443024615385,0.005136264,0.0109671607692308,0.00805171238461538,46.7408885210531,,0.000873060761109273,,,
"5:131:7173:429534:429496815,6",5.87935962,0.85463019,6.05266506,0.61238981,3.27647829,1.33651568,2.85992212,0.00967833,1,950001,0.0126018395769231,0.00514044492307692,0.0109997004615385,0.00807007269230769,48.3621757347789,,0.000298487958501054,,,
"5:131:7173:429534:429496840,6",5.88091686,0.85502628,6.05112963,0.61238981,3.29080806,1.33733096,2.8623155,0.00949572,1,950001,0.0126569540769231,0.00514358061538462,0.0110089057692308,0.00807624319230769,48.3845898437244,,-8.77214309293267E-05,,,
"5:131:7173:429534:429496865,6",5.88013824,0.81554931,6.05112963,0.61238981,3.30671253,1.33753478,2.86114664,0.00967833,1,950001,0.0127181251153846,0.00514436453846154,0.0110044101538462,0.00807438734615385,46.1506503188212,,-0.00104023528145679,,,
"5:131:7173:429534:429496890,6",5.86197044,0.70424802,6.03526352,0.61238981,3.31726302,1.33753478,2.84856748,0.00967833,1,950001,0.0127587039230769,0.00514436453846154,0.0109560287692308,0.00805019665384615,39.8522857051307,,-0.00101885591927596,,,
"5:131:7173:429534:429496915,6",5.8461385,0.61327935,6.01786198,0.61238981,3.32403423,1.3377386,2.83415154,0.00986094,1,950001,0.0127847470384615,0.00514514846153846,0.0109005828461538,0.00802286565384616,34.7045120173101,,-0.00132575636959525,,,
"5:131:7173:429534:429496940,6",5.82485622,0.52178256,5.99483053,0.61238981,3.33316749,1.33753478,2.81288942,0.00967833,1,950001,0.0128198749615385,0.00514436453846154,0.0108188054615385,0.007981585,29.5268528508955,,-0.00200009813712111,,,
"5:131:7173:429534:429496965,6",5.79137556,0.42104367,5.95388573,0.61238981,3.33741918,1.33339044,2.77804626,0.00986094,1,950001,0.0128362276153846,0.00512842476923077,0.0106847933076923,0.00790660903846154,23.8261978090854,,-0.00221439479575866,,,
"5:131:7173:429534:429496990,6",5.75036824,0.32637816,5.9011693,0.53337177,3.33411231,1.32530558,2.73168148,0.00986094,1,950001,0.0128235088846154,0.00509732915384615,0.0105064672307692,0.00780189819230769,18.4692257711067,,-0.00199926398183242,,,
"5:131:7173:429534:429497015,6",5.70053656,0.24055866,5.84333477,0.53337177,3.32828592,1.31348402,2.67869316,0.00986094,1,950001,0.0128010996923077,0.00505186161538462,0.010302666,0.00767726380769231,13.6128354995778,,-0.00152307943962886,,,
"5:131:7173:429534:429497040,6",5.64733086,0.1663578,5.79010653,0.53337177,3.31868025,1.2993525,2.62403504,0.00967833,1,950001,0.0127641548076923,0.00499750961538462,0.0100924424615385,0.00754497603846154,9.41392575711748,,-0.00100221650362823,,,
"5:131:7173:429534:429497065,6",5.5943847,0.09994671,5.73380743,0.73091687,3.30198843,1.284066,2.57015616,0.00967833,1,950001,0.0126999555,0.00493871538461538,0.009885216,0.00741196569230769,5.65582682391899,,-0.000407125363903278,,,
"5:131:7173:429534:429497090,6",5.55467508,0.05479245,5.69337444,1.14576158,3.28025757,1.27305972,2.5328083,0.00986094,1,950001,0.0126163752692308,0.00489638353846154,0.00974157038461538,0.00731897696153846,3.10061840412996,,-7.92219993803499E-05,,,
"5:131:7173:429534:429497115,6",5.53962176,0.05162373,5.68365005,1.20502511,3.26340828,1.26973066,2.52245554,0.00986094,1,950001,0.0125515703076923,0.00488357946153846,0.00970175207692308,0.00729266576923077,2.92130553256582,,0.000172535446751634,,,
"5:131:7173:429534:429497140,6",5.55701094,0.10720836,5.70258702,1.14576158,3.24718887,1.26932302,2.5428271,0.00986094,1,950001,0.0124891879615385,0.00488201161538462,0.00978010423076923,0.00733105792307692,6.06675215458682,,0.000782902618257463,,,
"5:131:7173:429534:429497165,6",5.59516332,0.18853884,5.74148458,1.08649805,3.23175681,1.27550556,2.58529568,0.00986094,1,950002,0.0124298338846154,0.00490579061538462,0.00994344492307692,0.00742461776923077,10.6691158580665,0.00518241980993461,0.00180117983253972,,,
"5:131:7173:429534:429497190,7",5.6488881,0.28201608,5.80238997,0.90870746,3.2249856,1.28963708,2.64151228,0.01004355,1,950002,0.0124037907692308,0.00496014261538462,0.0101596626153846,0.00755990261538462,15.9588455692087,,0.00288711294155521,,,
"5:131:7173:429534:429497215,6",5.70754414,0.39160098,5.87148432,0.73091687,3.2265603,1.30539916,2.7045194,0.00967833,1,950002,0.0124098473076923,0.005020766,0.0104019976923077,0.00771138184615385,22.1600823774686,,0.0038118549662611,,,
"5:131:7173:429534:429497240,6",5.76931466,0.52376301,5.94313772,0.61238981,3.2312844,1.31925892,2.76719256,0.00986094,1,950002,0.0124280169230769,0.00507407276923077,0.0106430483076923,0.00785856053846154,29.638923395623,,0.00443205167512767,,,
"5:131:7173:429534:429497265,6",5.8318638,0.70385193,6.01018483,0.53337177,3.24277971,1.33006138,2.82274124,0.00986094,1,950002,0.0124722296538462,0.00511562069230769,0.0108566970769231,0.00798615888461539,39.8298715961851,,0.00284204567561175,,,
